"Address","City","Bd1","Bth1","Sqft","LotSz1","LotUnit","Year","Date","Sqft.dollor","DOM.CDOM","OrgPrice","LstPrice","SalPrice","SP.LP","zip"
"932 Yolo St","West Sacra","2","1 (1 0)",944,7492,"sf","1914",2013-01-25,132.42,"44/44",141500,"141500","125000",88.34,95605
"813 Inglewood Dr","West Sacra","3","1 (1 0)",1300,4873,"sf","1956",2013-05-24,96.15,"2/2",95000,"125000","125000",100,95605
"1024 Elliot St","West Sacra","3","1 (1 0)",1008,0.122,"ac","1954",2013-03-13,124.01,"25/25",119900,"119900","125000",104.25,95605
"1100 Anna Street","West Sacra","3","1 (1 0)",1200,0.12,"ac","1960",2014-12-16,104.17,"52/52",150000,"150000","125000",83.33,95605
"813 Fremont Blvd","West Sacra","2","1 (1 0)",845,0.12,"ac","Unknown",2014-05-12,149.11,"16/16",100000,"100000","126000",126,95605
"900 Sharian St","West Sacra","3","1 (1 0)",950,0.1773,"ac","Unknown",2013-09-09,135.79,"17/17",145000,"135000","129000",95.56,95605
"605 Cummins Way","West Sacra","2","1 (1 0)",700,0.14,"ac","Unknown",2014-02-20,185.71,"5/5",125000,"130000","130000",100,95605
"1009 Charles St","West Sacra","3","2 (2 0)",1100,0.2276,"ac","Unknown",2013-06-06,118.18,"55/55",99000,"99000","130000",131.31,95605
"800 Fremont Blvd","West Sacra","3","1 (1 0)",1080,5600,"sf","1951",2013-04-02,120.37,"4/4",160000,"160000","130000",81.25,95605
"640 Kegle Dr","West Sacra","2-3","1 (1 0)",1048,0.1148,"ac","1951",2013-04-12,124.05,"5/5",130000,"130000","130000",100,95605
"800 Inglewood Dr","West Sacra","3","1 (1 0)",952,0.1244,"ac","Unknown",2013-10-22,136.84,"0/0",156481,"156481","130275",83.25,95605
"641 Andrew St","West Sacra","3","1 (1 0)",1113,0.09,"ac","1949",2013-04-19,117.7,"6/6",124888,"131000","131000",100,95605
"705 Hardy Dr","West Sacra","3-4","2 (2 0)",1008,0.12,"ac","1956",2014-07-22,130.95,"19/19",131300,"131300","132000",100.53,95605
"1013 Hobson Ave","West Sacra","2","1 (1 0)",1072,0.12,"ac","1959",2014-03-19,124.07,"23/23",133000,"133000","133000",100,95605
"1020 Cummins Way","West Sacra","3","1 (1 0)",952,0.12,"ac","1956",2014-05-30,141.81,"53/53",149500,"149500","135000",90.3,95605
"952 Sharian St","West Sacra","4","2 (2 0)",1500,0.149,"ac","Unknown",2013-06-27,90,"27/27",122500,"135000","135000",100,95605
"1214 Hobson Ave","West Sacra","3","2 (2 0)",1153,0.12,"ac","Unknown",2014-08-12,117.95,"1/1",134900,"134900","136000",100.82,95605
"828 Julian Dr","West Sacra","0","0 (0 0)",784,0.12,"ac","1957",2014-07-25,174.74,"12/12",137000,"137000","137000",100,95605
"760 Douglas St","West Sacra","3","1 (1 0)",952,0.119,"ac","1954",2013-04-12,143.91,"25/25",132500,"132500","137000",103.4,95605
"1040 Hobson Ave","West Sacra","3","1 (1 0)",1200,0.119,"ac","Unknown",2013-04-26,114.17,"16/16",124000,"137000","137000",100,95605
"505 Smilax Ave","West Sacra","2-3","1 (1 0)",1140,0.171,"ac","1947",2013-08-30,120.18,"18/18",137000,"137000","137000",100,95605
"602 William St","West Sacra","3","1 (1 0)",999,0.09,"ac","1921",2014-06-06,140.04,"13/13",139900,"139900","139900",100,95605
"817 Fourness","West Sacra","3","2 (2 0)",1200,0.15,"ac","1960",2014-07-25,116.58,"11/11",139900,"139900","139900",100,95605
"750 Greenwood Ave","West Sacra","3","1 (1 0)",1053,0.12,"ac","1953",2014-06-12,132.95,"10/10",159000,"159000","140000",88.05,95605
"1109 Rogers St","West Sacra","3","2 (2 0)",1300,0.115,"ac","1979",2013-11-20,107.69,"5/5",100000,"100000","140000",140,95605
"1000 Taber St","West Sacra","3","2 (1 1)",1170,0.1263,"ac","1971",2013-07-15,119.66,"20/20",139900,"139900","140000",100.07,95605
"1001 Pierce St","West Sacra","4","3 (2 1)",1456,0.142,"ac","1968",2013-06-14,97.53,"5/5",142500,"142500","142000",99.65,95605
"713 Kegle Dr","West Sacra","3","1 (1 0)",1014,0.12,"ac","1956",2014-02-04,140.04,"72/72",155000,"146500","142000",96.93,95605
"831 Greenwood Ave","West Sacra","2","1 (1 0)",837,0.1134,"ac","1953",2013-10-31,170.25,"87/87",160000,"153000","142500",93.14,95605
"957 Oak St","West Sacra","2","1 (1 0)",860,0.8,"ac","1940",2013-10-24,166.28,"1/1",130000,"145000","143000",98.62,95605
"544 Holland Dr","West Sacra","4","2 (2 0)",1356,0.156,"ac","1966",2013-02-07,106.19,"3/3",135000,"144000","144000",100,95605
"518 G St","West Sacra","4-6","3 (3 0)",2500,0.261,"ac","Unknown",2013-03-04,58,"13/13",130000,"130000","145000",111.54,95605
"750 CASSELMAN Pl","West Sacra","3","2 (2 0)",1010,0.1134,"ac","Unknown",2013-04-30,143.56,"5/5",145000,"145000","145000",100,95605
"1620 Citrus St","West Sacra","4","1 (1 0)",1339,0.2382,"ac","1957",2015-01-30,110.16,"6/6",140000,"140000","147500",105.36,95605
"1021 Milton St","West Sacra","3","1 (1 0)",1000,0.12,"ac","1955",2013-05-01,148,"103/103",141000,"148000","148000",100,95605
"1429 Lisbon Ave","West Sacra","3","1 (1 0)",900,0.14,"ac","Unknown",2014-04-18,164.44,"106/106",154900,"154900","148000",95.55,95605
"920 Anna St","West Sacra","3","1 (1 0)",990,0.126,"ac","1958",2013-10-08,151.46,"125/125",145000,"149950","149950",100,95605
"1112 Anna St","West Sacra","4","3 (2 1)",1456,0.154,"ac","1966",2013-05-23,103.02,"23/23",155000,"155000","150000",96.77,95605
"325 4th St","West Sacra","2","1 (1 0)",810,0.07,"ac","Unknown",2014-05-01,185.19,"20/20",174500,"159500","150000",94.04,95605
"1737 Reed Ave","West Sacra","2","1 (1 0)",1216,0.16,"ac","1950",2014-02-13,123.36,"6/6",146300,"146300","150000",102.53,95605
"844 Kegle Dr","West Sacra","3","1 (1 0)",976,5000,"sf","1956",2013-12-30,153.69,"140/140",189000,"149000","150000",100.67,95605
"841 Greenwood Ave","West Sacra","2","1 (1 0)",837,0.12,"ac","Unknown",2014-01-17,180.41,"5/5",150000,"150000","151000",100.67,95605
"721 Douglas St","West Sacra","3","1 (1 0)",1000,0.12,"ac","1954",2014-07-25,151.37,"18/18",152900,"152900","151371",99,95605
"830 Greenwood Ave","West Sacra","2-3","1 (1 0)",1100,0.12,"ac","Unknown",2014-08-15,138.18,"32/32",179000,"159000","152000",95.6,95605
"1032 Taber St","West Sacra","3","2 (2 0)",1097,0.1281,"ac","1971",2013-05-21,138.65,"9/9",119000,"119000","152099",127.81,95605
"725 Inglewood Dr","West Sacra","3","1 (1 0)",952,0.12,"ac","1956",2014-04-08,160.71,"6/6",152900,"152900","153000",100.07,95605
"1130 Morse Ct","West Sacra","3","1 (1 0)",989,0.1148,"ac","1959",2013-09-03,156.72,"45/45",170000,"155000","155000",100,95605
"639 Arthur Dr","West Sacra","3","1 (1 0)",1000,0.117,"ac","1960",2013-12-13,155,"92/92",174900,"155000","155000",100,95605
"928 Cummins Way","West Sacra","2-3","2 (1 1)",1420,0.165,"ac","1957",2013-10-09,109.15,"87/87",174900,"157500","155000",98.41,95605
"1024 Elliot St","West Sacra","3","1 (1 0)",1008,0.1218,"ac","1954",2013-10-25,158.73,"87/87",174500,"165000","160000",96.97,95605
"814 Fourness Dr","West Sacra","3","2 (2 0)",1150,0.1147,"ac","1956",2013-09-26,139.13,"21/21",165000,"165000","160000",96.97,95605
"800 Elder Dr","West Sacra","3","2 (2 0)",1100,0.12,"ac","1951",2014-09-19,145.45,"43/43",125000,"160000","160000",100,95605
"925 Cummins Way","West Sacra","3","2 (2 0)",1008,6307,"sf","1957",2013-03-19,158.73,"7/7",160000,"160000","160000",100,95605
"933 Fremont Blvd","West Sacra","2-3","2 (2 0)",1155,0.1276,"ac","Unknown",2013-12-10,140.26,"10/10",149900,"159900","162000",101.31,95605
"1436 Carrie St","West Sacra","3","1 (1 0)",1340,0.12,"ac","Unknown",2014-09-05,121.64,"59/59",169900,"167500","163000",97.31,95605
"720 Greenwood Ave","West Sacra","3","1 (1 0)",1053,0.1148,"ac","1952",2014-12-15,156.7,"4/4",169900,"169900","165000",97.12,95605
"732 Yolo St","West Sacra","4","2 (2 0)",1200,0.17,"ac","1961",2013-11-26,137.5,"6/62",172000,"172000","165000",95.93,95605
"832 Inglewood Dr","West Sacra","3","2 (2 0)",1000,0.12,"ac","1956",2014-06-11,165,"42/42",170000,"170000","165000",97.06,95605
"909 Anna St","West Sacra","3","1 (1 0)",990,0.14,"ac","1958",2014-05-01,166.67,"11/11",159900,"164900","165000",100.06,95605
"961 Reuter Dr","West Sacra","3","1 (1 0)",1008,0.12,"ac","Unknown",2014-06-16,163.99,"9/9",165000,"165000","165300",100.18,95605
"39 6th St","West Sacra","3","2 (2 0)",1378,0.131,"ac","1950",2013-08-06,121.19,"3/3",162700,"162700","167000",102.64,95605
"1126 Hobson Ave","West Sacra","4","2 (2 0)",1372,0.172,"ac","Unknown",2013-04-09,123.18,"20/20",179000,"175000","169000",96.57,95605
"1425 Lisbon Ave","West Sacra","3","1 (1 0)",900,0.139,"ac","1960",2013-09-16,188.78,"5/5",169900,"169900","169900",100,95605
"952 Sharian St","West Sacra","4","2 (2 0)",1500,0.1485,"ac","1957",2013-12-13,113.33,"74/74",189900,"170900","170000",99.47,95605
"808 Hardy Dr","West Sacra","3","2 (2 0)",1400,0.1208,"ac","1955",2013-08-13,121.43,"7/7",165000,"170000","170000",100,95605
"1013 Rich St","West Sacra","3","1 (1 0)",1150,0.1429,"ac","Unknown",2013-06-12,147.83,"19/19",170000,"170000","170000",100,95605
"1206 Morse Ct","West Sacra","3","1 (1 0)",1109,0.1148,"ac","1959",2013-07-31,153.29,"26/26",174900,"174900","170000",97.2,95605
"1226 Burrows St","West Sacra","3","2 (2 0)",1064,0.1089,"ac","Unknown",2013-09-03,161.65,"11/11",172000,"172000","172000",100,95605
"825 Fremont Blvd","West Sacra","3","1 (1 0)",1080,0.1148,"ac","Unknown",2013-08-16,159.26,"6/6",179000,"179000","172000",96.09,95605
"1028 Charles St","West Sacra","3","2 (1 1)",1060,0.1286,"ac","1961",2013-07-09,162.74,"35/35",184900,"179900","172500",95.89,95605
"901 Reuter Dr","West Sacra","3","1 (1 0)",1008,0.1315,"ac","1954",2013-09-30,171.63,"30/30",173000,"173000","173000",100,95605
"1351 Hobson Ave","West Sacra","3","2 (2 0)",1022,0.16,"ac","1954",2014-07-16,171.23,"24/24",185000,"185000","175000",94.59,95605
"936 Sharian St","West Sacra","3","2 (2 0)",1100,NA,NA,"1957",2014-01-24,159.09,"32/32",159999,"159999","175000",109.38,95605
"916 Sharian St","West Sacra","3","2 (2 0)",1200,0.13,"ac","1957",2014-08-18,145.83,"7/7",183500,"183500","175000",95.37,95605
"404 Todhunter Ave","West Sacra","2-3","2 (1 1)",1176,0.16,"ac","1940",2014-12-19,152.21,"52/52",199000,"189000","179000",94.71,95605
"1028 Milton St","West Sacra","3","2 (2 0)",1136,0.13,"ac","1961",2013-12-18,158.45,"4/4",169000,"169000","180000",106.51,95605
"1036 Rich St","West Sacra","3","2 (2 0)",1153,0.1446,"ac","1958",2013-07-22,156.11,"21/21",170000,"180000","180000",100,95605
"1041 Pierce St","West Sacra","3","2 (2 0)",1300,0.12,"ac","1950",2014-04-28,139.23,"58/58",185000,"185000","181000",97.84,95605
"607 Cummins Way","West Sacra","4","2 (2 0)",2731,0.14,"ac","1949",2014-06-23,66.69,"28/111",200000,"200000","182129",91.06,95605
"956 Sharian St","West Sacra","4","2 (2 0)",1410,0.115,"ac","1957",2013-02-27,129.79,"12/12",184900,"184900","183000",98.97,95605
"932 Anna St","West Sacra","3","2 (2 0)",1153,0.1194,"ac","1958",2014-11-14,162.19,"25/25",189987,"187500","187000",99.73,95605
"800 Inglewood Dr","West Sacra","3","2 (2 0)",1027,0.12,"ac","Unknown",2014-11-24,182.92,"88/88",202000,"187860","187860",100,95605
"850 Douglas St","West Sacra","5","2 (2 0)",1862,0.107,"ac","Unknown",2013-11-06,102.04,"28/28",199000,"189900","190000",100.05,95605
"836 Oak St","West Sacra","3","2 (2 0)",1120,0.1636,"ac","1961",2015-01-28,174.11,"6/6",189987,"189987","195000",102.64,95605
"230 3rd St","West Sacra","3","3 (2 1)",1452,0.05,"ac","2003",2013-06-04,134.99,"28/28",190000,"190000","196000",103.16,95605
"1004 Marston St","West Sacra","4","2 (2 0)",1293,5000,"sf","1978",2013-10-25,152.36,"25/25",224900,"199000","197000",98.99,95605
"765 Fremont Blvd","West Sacra","3-4","2 (2 0)",1803,0.12,"ac","1954",2014-04-21,113.14,"23/23",199000,"199000","204000",102.51,95605
"517 Solano St","West Sacra","3-4","2 (2 0)",1450,0.1427,"ac","Unknown",2014-10-31,142.41,"3/3",208000,"208000","206500",99.28,95605
"94 6th St","West Sacra","5","2 (2 0)",1798,0.14,"ac","1949",2014-03-26,115.68,"26/50",208000,"208000","208000",100,95605
"1377 Somerset Dr","West Sacra","3","2 (2 0)",1201,0.28,"ac","1992",2013-08-16,179.02,"5/5",204000,"204000","215000",105.39,95605
"1429 Dobros Dr","West Sacra","3","2 (2 0)",1684,0.3367,"ac","1980",2014-03-13,127.79,"6/56",220000,"220000","215200",97.82,95605
"432 Jasmine Ave","West Sacra","3","2 (2 0)",1390,0.17,"ac","Unknown",2014-07-17,161.87,"15/15",225000,"225000","225000",100,95605
"325 Washington Pl","West Sacra","2","3 (2 1)",1313,0.04,"ac","2003",2014-01-03,171.36,"2/2",225000,"225000","225000",100,95605
"240 3rd St","West Sacra","2","3 (2 1)",1250,0.04,"ac","2002",2013-05-17,180,"6/6",196500,"196500","225000",114.5,95605
"1345 Windemere Ct","West Sacra","3","2 (2 0)",1390,0.13,"ac","Unknown",2014-09-18,166.91,"13/13",249950,"249950","232000",92.82,95605
"142 4th St","West Sacra","2","3 (2 1)",1188,0.03,"ac","2010",2013-10-30,202.02,"3/3",240000,"240000","240000",100,95605
"345 Washington Pl","West Sacra","2","3 (2 1)",1313,0.04,"ac","2003",2014-03-28,186.6,"29/29",250000,"250000","245000",98,95605
"282 McDowell Ln","West Sacra","3","4 (3 1)",1600,0.03,"ac","2007",2013-03-01,153.13,"26/26",245000,"245000","245000",100,95605
"911 Lighthouse Dr","West Sacra","4","3 (3 0)",1965,0.195,"ac","2004",2013-03-08,124.68,"37/37",245000,"220000","245000",111.36,95605
"332 METRO Ln","West Sacra","2","3 (2 1)",1350,0.04,"ac","2003",2014-07-01,185.19,"84/84",315000,"275000","250000",90.91,95605
"228 Washington Pl","West Sacra","3","3 (2 1)",1375,2178,"sf","2003",2013-12-27,189.09,"29/29",275000,"275000","260000",94.55,95605
"251 Mcdowell Ln","West Sacra","3","3 (3 0)",1628,0.03,"ac","2007",2013-04-19,162.78,"11/11",252000,"252000","265000",105.16,95605
"285 3rd St","West Sacra","3","4 (3 1)",1600,0.03,"ac","2007",2013-05-23,167.5,"7/7",265000,"265000","268000",101.13,95605
"275 Mcdowell Ln","West Sacra","3","3 (3 0)",1628,0.03,"ac","2007",2013-08-05,164.62,"15/15",272000,"272000","268000",98.53,95605
"239 Mcdowell Ln","West Sacra","3","3 (3 0)",1628,0.03,"ac","2007",2013-11-15,165.79,"60/60",269900,"269900","269900",100,95605
"291 Mcdowell Ln","West Sacra","3","3 (3 0)",1307,0.03,"ac","2007",2014-01-23,206.58,"18/52",275000,"275000","270000",98.18,95605
"243 Mcdowell Ln","West Sacra","3","3 (3 0)",1307,0.03,"ac","2007",2014-01-30,210.41,"0/0",275000,"275000","275000",100,95605
"230 3rd St","West Sacra","2-3","3 (2 1)",1452,0.05,"ac","2003",2014-10-03,189.39,"35/35",289000,"280000","275000",98.21,95605
"279 Mcdowell Ln","West Sacra","3","3 (3 0)",1616,0.03,"ac","2007",2014-04-08,173.27,"6/6",280000,"280000","280000",100,95605
"263 Mcdowell Ln","West Sacra","3","3 (3 0)",1600,0.03,"ac","2007",2014-05-28,180.63,"33/33",289000,"289000","289000",100,95605
"282 Mcdowell Ln","West Sacra","3","4 (3 1)",1600,0.03,"ac","2007",2014-08-06,181.19,"17/17",289900,"289900","289900",100,95605
"850 Lighthouse Dr","West Sacra","5","3 (3 0)",1965,0.16,"ac","2005",2013-08-23,150.13,"4/4",294750,"295000","295000",100,95605
"238 Washington Pl","West Sacra","3","3 (2 1)",1610,0.06,"ac","2003",2013-10-23,184.47,"13/13",297000,"297000","297000",100,95605
"267 Mcdowell Ln","West Sacra","3","3 (3 0)",1619,0.03,"ac","2007",2014-10-14,185.3,"1/1",300000,"300000","300000",100,95605
"278 Mcdowell Ln","West Sacra","3","4 (3 1)",1595,0.03,"ac","2007",2014-11-24,190.6,"19/19",319999,"319999","304000",95,95605
"583 Watercolor Ln","West Sacra","7","4 (4 0)",3155,0.15,"ac","2005",2013-01-24,96.67,"83/83",325000,"314000","305000",97.13,95605
"210 3rd St","West Sacra","3","3 (2 1)",1613,0.07,"ac","2003",2014-11-04,192.13,"9/9",309900,"309900","309900",100,95605
"940 Lighthouse Dr","West Sacra","4","3 (3 0)",2788,0.15,"ac","2005",2013-06-04,115.85,"16/16",324500,"324500","323000",99.54,95605
"599 Watercolor Ln","West Sacra","5","3 (2 1)",2570,0.11,"ac","2005",2013-05-07,126.46,"53/53",315000,"315000","325000",103.17,95605
"431 Midstream Ln","West Sacra","2-3","3 (2 1)",1837,1742,"sf","2012",2014-07-10,187.81,"77/77",349000,"349000","345000",98.85,95605
"1009 Waterford Dr","West Sacra","3-4","3 (2 1)",2755,0.172,"ac","2005",2013-04-30,131.76,"27/27",370000,"380000","363000",95.53,95605
"582 Watercolor Ln","West Sacra","5","3 (3 0)",2788,0.23,"ac","2005",2014-03-20,130.92,"10/51",379000,"379000","365000",96.31,95605
"219 Royal Oaks Drive D","West Sacra","4","3 (3 0)",2640,NA,NA,"2007",2013-06-04,140.15,"23/23",300000,"300000","370000",123.33,95605
"621 Myrtle Ave","West Sacra","4","5 (4 1)",2941,0.3561,"ac","1980",2013-08-12,127.51,"13/13",399888,"399888","375000",93.78,95605
"1011 Waterford Dr","West Sacra","5","4 (4 0)",3761,0.17,"ac","2005",2013-04-11,100.24,"114/114",414000,"374900","377000",100.56,95605
"940 Lighthouse Dr","West Sacra","4","3 (3 0)",2788,0.15,"ac","2005",2013-10-01,136.3,"52/52",414950,"379000","380000",100.26,95605
"1033 Waterford Dr","West Sacra","4","3 (2 1)",2586,7492,"sf","2005",2013-06-06,148.88,"18/18",390000,"390000","385000",98.72,95605
"435 Woodhaven Pl","West Sacra","3-5","3 (3 0)",3100,0.2485,"ac","2005",2013-10-16,129.03,"8/8",385000,"385000","400000",103.9,95605
"415 Woodhaven Pl","West Sacra","4","3 (3 0)",2626,0.23,"ac","2005",2014-01-31,152.32,"15/15",380000,"380000","400000",105.26,95605
"279 Westlake Dr","West Sacra","5","4 (3 1)",4028,NA,NA,"2006",2013-07-05,102.28,"32/32",379000,"425000","412000",96.94,95605
"1002 Fountain Dr","West Sacra","4","3 (3 0)",3303,0.19,"ac","2005",2013-03-19,138.96,"27/27",459000,"459000","459000",100,95605
"711 Fountain Dr","West Sacra","4","3 (3 0)",2850,0.255,"ac","2005",2013-06-12,161.4,"10/10",499000,"446600","460000",103,95605
"305 Woodhaven Pl","West Sacra","4","3 (3 0)",3100,0.23,"ac","2005",2014-07-18,153.23,"8/8",475000,"475000","475000",100,95605
"219 Royal Oaks Dr","West Sacra","4","3 (3 0)",2801,0.246,"ac","2005",2014-10-28,171.01,"10/10",489900,"489900","479000",97.78,95605
"830 Wedge Wood Ct","West Sacra","6","4 (3 1)",4042,0.24,"ac","2004",2013-05-23,142.23,"31/31",564900,"574900","574900",100,95605
"840 Wedgewood Ct","West Sacra","5","4 (3 1)",4250,0.25,"ac","2005",2014-12-05,135.29,"55/220",599000,"599000","575000",95.99,95605
"705 Rolling Green Dr","West Sacra","5-6","5 (4 1)",4578,0.241,"ac","2005",2014-08-25,129.97,"280/280",680000,"599900","595000",99.18,95605
"865 Wedge Wood Ct","West Sacra","6-7","5 (5 0)",4878,0.25,"ac","2005",2014-10-28,131.2,"36/36",585000,"640000","640000",100,95605
"970 Rivercrest Dr","West Sacra","3","4 (4 0)",3550,0.26,"ac","2004",2014-06-19,202.82,"15/15",775000,"775000","720000",92.9,95605
"385 WOODHAVEN Pl","West Sacra","5","5 (4 1)",4685,0.23,"ac","2005",2014-04-24,160.09,"32/32",749000,"749000","750000",100.13,95605
"910 Rivercrest Dr","West Sacra","4","4 (4 0)",3375,0.307,"ac","2006",2013-08-23,237.04,"74/224",850000,"850000","800000",94.12,95605
"3740 Winona Way","North Highla","4","3 (3 0)",2815,0.57,"ac","1960",2013-11-25,109.41,"88/88",359000,"315900","308000",97.5,95841
"5438 Yellow Pine Way","Sacramento","2","2 (2 0)",1132,0.12,"ac","1966",2013-04-23,101.59,"6/6",115000,"115000","115000",100,95841
"5425 Fort Sutter Way","Sacramento","3","2 (2 0)",1400,0.18,"ac","1957",2013-01-16,85.86,"10/10",120200,"120200","120200",100,95841
"5624 Tahama St","Sacramento","3","2 (2 0)",1560,0.16,"ac","1957",2013-03-04,77.56,"82/82",89900,"109000","121000",111.01,95841
"4535 Freeway Cir","Sacramento","3","2 (2 0)",1152,0.23,"ac","1957",2013-05-23,111.55,"113/113",97920,"128000","128500",100.39,95841
"4636 Freeway Cir","Sacramento","3","3 (3 0)",1326,0.23,"ac","1959",2014-11-10,98.04,"5/5",145000,"145000","130000",89.66,95841
"4649 Freeway Cir","Sacramento","3","2 (2 0)",1120,0.23,"ac","1958",2013-03-28,117.14,"11/11",120000,"120000","131200",109.33,95841
"5548 Hackberry Ln","Sacramento","2","1 (1 0)",806,0.39,"ac","1948",2014-12-11,171.84,"14/14",104900,"104900","138500",132.03,95841
"4534 Freeway Cir","Sacramento","3","2 (2 0)",1339,0.23,"ac","1957",2014-12-04,104.56,"15/15",135000,"135000","140000",103.7,95841
"4116 Auburn Blvd","Sacramento","2","2 (2 0)",1002,0.57,"ac","1944",2013-12-18,141.52,"0/0",180500,"160600","141800",88.29,95841
"4949 College Oak Dr","Sacramento","1","1 (1 0)",884,0.43,"ac","1956",2014-02-11,162.9,"197/197",285000,"160000","144000",90,95841
"5320 Calistoga Way","Sacramento","3","2 (2 0)",1314,0.15,"ac","1957",2013-01-29,109.59,"13/13",145000,"145000","144000",99.31,95841
"6213 Shenandoah Dr","Sacramento","3","2 (2 0)",1224,0.17,"ac","1957",2014-02-19,122.55,"0/0",160000,"160000","150000",93.75,95841
